,hit_num,map,precision,purchased,recall,recall_num
"Image
(Euclidean)",0.002231134935695292,0.0002950080996763335,0.00018592791130794107,0.2563436698205969,0.0007030921117025795,0.0
"Text
(Euclidean)",0.0013688784414685002,0.00013418596791517525,0.00011407320345570833,0.2563436698205969,0.00014288808361804508,0.0
"Popularity
(All)",0.0022130006259656995,0.0011856866260526722,0.00018441671883047465,0.2563436698205969,0.002485186258621267,0.0
"Popularity
(Product)",0.008658008268554222,0.0003974920210703834,0.0006423139266719189,0.2563436698205969,0.0014357934683888963,0.2243228198654986
"Popularity
(Region)",0.009819043810526045,0.0013431919483477767,0.0015404016151561288,0.2563436698205969,0.0030178958145078627,0.30987914502678704
"Popularity
(Age)",0.0021732947792812655,0.0011797653939688234,0.00018110789827343885,0.2563436698205969,0.002481228031407509,6.480209440325642e-05
"Popularity
(Buy Together)",0.0019473582696544433,2.7983344834229513e-05,0.00016227985580453695,0.2563436698205969,0.0003275758005807472,0.0
"Collaborative
Filtering",0.004070922014146731,0.00040528702502912607,0.000339243501178894,0.2563436698205969,0.0007936233863659668,0.0
"Item2Vec
(Cluster Popular)",0.012716859796857334,0.0019041004134892072,0.0010597383164047784,0.2563436698205969,0.0036650011739134468,0.0
"Item2Vec
(User-Item Similarity)",0.012657532212411445,0.002410258969761826,0.0010547943510342867,0.2563436698205969,0.004733063227614939,0.0
Aggregation (1),0.01079641755312481,0.001252714465782115,0.0008997014627603996,0.2563436698205969,0.002929165779534163,0.0
Aggregation (2),0.011363908892580047,0.0012719866784157605,0.0009469924077150045,0.2563436698205969,0.002594078701265019,0.0
Aggregation (3),0.012007453470939082,0.001459283897208215,0.0010006211225782572,0.2563436698205969,0.003183608517486737,0.0
